ESTADOS,MUNICIPIOS,DIRTFL_PC,ROOM1_PC,WATER_PC,PLUMB_PC,ELECT_PC,PHONE_PC,ACCESO,POBLACION RURAL,POBREZA ALIMENTARIA 2000,POBREZA ALIMENTARIA 2002
Chiapas,Pichucalco,0.44543,0.14590999999999998,0.24463000000000001,0.4132,0.54728,0.0056700000000000006,83.5,55.3156,0.58,0.56
Chiapas,Salto de Agua,0.81004,0.19895,0.43576000000000004,0.07331,0.41817,0.00145,279.51795,90.89858000000001,0.67,0.68
Chiapas,Ostuacán,0.49212,0.06801,0.35798,0.41326,0.45033999999999996,0.00935,140.45455,82.75579,0.59,0.56
Chiapas,Cintalapa,0.5272899999999999,0.09765,0.3519,0.28454,0.5756600000000001,0.00742,213.87292999999997,48.84633,0.56,0.56
Chiapas,Sunuapa,0.62251,0.11500999999999999,0.31454,0.41484,0.36579,0.01153,142.0,100.0,0.6,0.58
Chiapas,Ixtapangajoya,0.69899,0.06392,0.61854,0.45726000000000006,0.4384,0.00045,159.15788999999998,100.0,0.62,0.6
Chiapas,Amatán,0.8396299999999999,0.10455,0.49756000000000006,0.2018,0.47398999999999997,0.0007099999999999999,134.94845,81.61679000000001,0.65,0.64
Chiapas,Sabanilla,0.9044700000000001,0.09492,0.48095,0.17507,0.48086,0.00112,253.25423999999998,100.0,0.63,0.62
Chiapas,Pantelh?,0.96872,0.17368,0.49515,0.040889999999999996,0.44615,0.0,146.78218,65.26258,0.66,0.66
Chiapas,Chalchihuitán,0.97849,0.23818000000000003,0.12195999999999999,0.029810000000000003,0.21291999999999997,0.00011,283.55262999999997,100.0,0.67,0.68
Chiapas,El Bosque,0.7560600000000001,0.08258,0.73707,0.39682,0.6744399999999999,0.00625,96.575,74.41473,0.6,0.56
Chiapas,Totolapa,0.7329600000000001,0.2233,0.38278,0.18070999999999998,0.44852,0.00114,71.46667,28.60512,0.61,0.61
Chiapas,Comitán de Dom?nguez,0.57431,0.07902999999999999,0.11134000000000001,0.10209,0.76905,0.011609999999999999,79.05263000000001,33.1708,0.57,0.54
Chiapas,Venustiano Carranza,0.70028,0.31122,0.45121999999999995,0.18506,0.6292800000000001,0.00143,88.68375999999999,43.77946,0.61,0.6
Chiapas,Nicolás Ru?z,1.0,0.0,0.0,0.0,0.0,0.0,47.0,3.82775,0.44,0.37
Chiapas,Marqu?s de Comillas,0.7535,0.14732,0.14737,0.12829000000000002,0.26456999999999997,0.00186,623.4583299999999,100.0,0.63,0.66
Chiapas,Las Rosas,0.714,0.22036999999999998,0.22783,0.22895,0.68958,0.008740000000000001,97.64407,26.758290000000002,0.59,0.57
Chiapas,Villa Corzo,0.6066199999999999,0.24641999999999997,0.47355,0.26999,0.47236999999999996,0.01108,191.13934,44.41727,0.59,0.57
Chiapas,Arriaga,0.2727,0.22771,0.23406,0.4149,0.7462300000000001,0.02021,52.2449,31.18008,0.5,0.46
Chiapas,Maravilla Tenejapa,0.7952100000000001,0.13105,0.28395,0.014819999999999998,0.58534,0.0016,1145.0869599999999,100.0,0.64,0.72
Chiapas,Socoltenango,0.6496,0.19332,0.42205,0.29879,0.71712,0.01264,84.12308,70.54907,0.59,0.56
Chiapas,La Independencia,0.59178,0.07463,0.38709,0.13910999999999998,0.78401,0.00321,300.33333,73.74167,0.62,0.6
Chiapas,Tzimol,0.58954,0.10117999999999999,0.52642,0.20513,0.75936,0.0051,137.0625,67.68134,0.57,0.54
Chiapas,La Concordia,0.57531,0.21448000000000003,0.43765,0.31856,0.51847,0.004370000000000001,169.76596,76.06487,0.62,0.61
Chiapas,Amatenango del Valle,0.79479,0.09128,0.12618,0.0004,0.63461,0.0,73.89286,48.909890000000004,0.58,0.55
Chiapas,Tonalá,0.3167,0.36641999999999997,0.25343000000000004,0.49988,0.70934,0.02458,68.74219000000001,43.30554,0.53,0.49
Chiapas,Chicomuselo,0.6329600000000001,0.20110999999999998,0.44993999999999995,0.24911999999999998,0.64035,0.00238,167.16418000000002,71.64519,0.62,0.6
Chiapas,Frontera Comalapa,0.51327,0.13807,0.44713,0.38292,0.68866,0.01121,54.11666999999999,67.69091999999999,0.6,0.55
Chiapas,?ngel Albino Corzo,0.69996,0.25945999999999997,0.7746,0.27525,0.43059,0.00307,186.13558999999998,62.504580000000004,0.63,0.62
Chiapas,Pijijiapan,0.37738,0.26329,0.1739,0.49173999999999995,0.69177,0.01821,94.98693,70.32738,0.57,0.51
Chiapas,Montecristo de Guerrero,0.48651000000000005,0.04508,0.74735,0.47423000000000004,0.68377,0.00279,176.54545,100.0,0.58,0.56
Chiapas,Bella Vista,0.64627,0.10355,0.44292,0.2972,0.70008,0.00278,213.52308,100.0,0.62,0.62
Chiapas,Siltepec,0.72108,0.08385,0.35035,0.45532,0.64635,0.0069099999999999995,320.7482,100.0,0.62,0.63
Chiapas,Mapastepec,0.45443,0.29941,0.27202,0.421,0.66108,0.022940000000000002,133.93701000000001,62.01255,0.59,0.56
Chiapas,Amatenango de la Frontera,0.5772,0.12768,0.594,0.40005999999999997,0.7602899999999999,0.00257,89.77778,89.07412,0.62,0.58
Chiapas,La Grandeza,0.7799,0.05815,0.45109,0.14235,0.77988,0.00329,437.54545,100.0,0.62,0.66
Chiapas,Bejucal de Ocampo,0.73248,0.08736000000000001,0.33784000000000003,0.23029000000000002,0.80029,0.0031899999999999997,270.82759,100.0,0.65,0.66
Chiapas,Acacoyagua,0.60302,0.34260999999999997,0.52482,0.30008,0.52779,0.0036200000000000004,126.69388000000001,59.68003,0.65,0.62
Chiapas,Escuintla,0.48835,0.17315999999999998,0.68976,0.31684,0.58306,0.00545,179.33636,70.45325,0.64,0.6
Chiapas,La Trinitaria,0.55095,0.07082000000000001,0.26469000000000004,0.14978,0.77307,0.01006,179.48953999999998,84.71500999999999,0.6,0.56
Chiapas,Villaflores,0.43966000000000005,0.22344,0.43346,0.45986000000000005,0.77028,0.01762,91.99545,39.19634,0.53,0.5
Chiapas,San Crist?bal de las Casa,0.83214,0.15583,0.38488,0.11062999999999999,0.84969,0.02128,96.7,15.087489999999999,0.61,0.57
Chiapas,Chiapilla,0.40681,0.45656,0.9496399999999999,0.75015,0.9114899999999999,0.013609999999999999,14.333329999999998,27.12705,0.51,0.46
Chiapas,Sitalá,0.968,0.09089,0.32199,0.02837,0.1275,0.00037999999999999997,181.85915,100.0,0.62,0.62
Chiapas,Chenalh?,0.92051,0.20257999999999998,0.34993,0.07515,0.4501,0.0004,185.77778,100.0,0.67,0.67
Chiapas,Chicoas?n,0.45427,0.11597,0.58815,0.45035,0.90086,0.0,61.31579,35.85731,0.55,0.51
Chiapas,San Fernando,0.50554,0.13,0.37544,0.36103,0.76288,0.01294,93.03509,68.50885,0.56,0.54
Chiapas,Berriozábal,0.66838,0.19132000000000002,0.24434,0.20134000000000002,0.7107,0.02235,103.36364,32.69961,0.58,0.57
Chiapas,San Juan Cancuc,0.95045,0.10421,0.2055,0.0105,0.58986,0.00454,159.35714,77.83739,0.64,0.63
Chiapas,Larráinzar,0.93301,0.18453,0.48836999999999997,0.05063,0.61725,8e-05,173.29508,100.0,0.66,0.64
