PERIMETER,MUNIG_,MUNIG_ID,ADM1CODE,ADM2CODE,ADM1NAME,ADM2NAME,DIRTFL_PC,ROOM1_PC,WATER_PC,PLUMB_PC,ELECT_PC,PHONE_PC,MEANILIT15,MEANSELE15,MEANCELE15,MEANSSEC15,MEANCSEC15,ACCESO,RURPER,FGT_0RUR00,FGT_0RUR02,MEANY2000,MEANY2002,POPDENS,FOODEXP
6.52500,61.00000,2425.00000,05,002,Coahuila de Zaragoza,Acuña,0.23012,0.19545,0.38063,0.28044,0.39340,0.06107,0.23451,0.85248,0.73504,0.05814,0.18258,342.71429,2.10704,0.36000,0.34,800.79,808.35,9.61305,231.92999
0.87200,62.00000,1624.00000,26,028,Sonora,Granados,0.02389,0.01024,0.98294,0.96587,0.98294,0.31058,0.11263,0.65529,0.75085,0.14334,0.57679,178.00000,100.00000,0.20000,0.18,1307.16,1298.39,3.30502,281.91000
1.14200,63.00000,1636.00000,26,001,Sonora,Aconchi,0.06226,0.03427,0.97099,0.94089,0.91952,0.06600,0.14920,0.86320,0.54002,0.26315,0.61365,160.25000,100.00000,0.25000,0.23,1070.20,1054.03,6.59870,246.28999
1.42700,64.00000,1640.00000,26,014,Sonora,Baviácora,0.06115,0.02477,0.94946,0.83135,0.95952,0.02305,0.17167,1.05646,0.47179,0.31653,0.50518,120.72727,100.00000,0.27000,0.23,1059.56,1061.73,4.44096,245.14999
6.71500,65.00000,2267.00000,08,019,Chihuahua,Chihuahua,0.15561,0.16387,0.55174,0.49546,0.69843,0.19453,0.22819,0.90450,0.65030,0.09346,0.22386,185.54400,2.07118,0.26000,0.23,1136.39,1218.42,80.37665,228.44000
0.98800,66.00000,1622.00000,26,024,Sonora,Divisaderos,0.04167,0.01852,0.98148,0.89352,0.98148,0.21759,0.10185,0.82870,0.62500,0.18519,0.55556,94.00000,100.00000,0.25000,0.20,1136.39,1173.56,2.09291,258.98001
8.17300,67.00000,1652.00000,26,030,Sonora,Hermosillo,0.17322,0.15477,0.71236,0.43633,0.89949,0.26403,0.48018,1.12496,0.69359,0.23863,0.42901,78.66903,5.98397,0.29000,0.27,997.85,971.51,38.93497,236.24000
3.11300,68.00000,1650.00000,26,066,Sonora,Ures,0.07031,0.06412,0.70329,0.62503,0.66849,0.08513,0.11357,1.07865,0.54147,0.16126,0.42880,73.26316,58.60951,0.28000,0.27,1007.89,1017.66,3.10350,240.66999
2.15500,69.00000,1644.00000,26,056,Sonora,San Miguel de Horcasitas,0.14295,0.09010,0.88433,0.68323,0.90344,0.41247,0.31971,1.45244,1.01614,0.36605,0.59341,35.78571,35.15819,0.24000,0.21,1125.07,1111.02,5.04046,247.36000
5.78900,70.00000,2237.00000,08,002,Chihuahua,Aldama,0.13937,0.11361,0.72843,0.55641,0.76868,0.15113,0.19352,0.88875,0.64067,0.13377,0.24267,190.13793,20.11043,0.26000,0.23,1171.00,1226.73,2.10127,225.86999
1.46700,71.00000,1623.00000,26,063,Sonora,Tepache,0.04292,0.00379,0.98990,0.77146,0.98737,0.19697,0.17550,1.07197,0.70833,0.15656,0.34596,109.50000,100.00000,0.26000,0.23,1080.96,1103.23,1.96065,249.47000
4.86800,72.00000,2271.00000,08,048,Chihuahua,Namiquipa,0.04186,0.01775,0.86550,0.63122,0.93419,0.16231,0.08155,0.76032,0.94616,0.20217,0.26262,165.34247,89.06230,0.26000,0.21,1125.07,1255.56,4.88201,222.52000
3.08100,73.00000,1645.00000,26,057,Sonora,San Pedro de la Cueva,0.27643,0.08161,0.70573,0.61181,0.92115,0.03829,0.21263,0.84466,0.48664,0.08575,0.15531,241.12500,100.00000,0.26000,0.25,1171.00,1102.78,0.76721,273.42999
6.02500,74.00000,1626.00000,26,052,Sonora,Sahuaripa,0.58191,0.06927,0.65908,0.35854,0.72284,0.00345,0.19840,1.13317,0.57261,0.12859,0.22246,415.16667,40.51562,0.35000,0.37,808.84,731.28,1.27127,207.78999
1.66200,75.00000,2268.00000,08,025,Chihuahua,G?mez Far?as,0.04150,0.02361,0.95535,0.49003,0.95360,0.16757,0.18394,0.81716,0.68308,0.08078,0.29801,64.85714,43.89309,0.25000,0.18,1136.39,1404.78,10.24732,243.13000
2.51400,76.00000,1647.00000,26,068,Sonora,Villa Pesqueira,0.09942,0.01390,0.97017,0.83681,0.97009,0.00755,0.11022,0.84649,0.57462,0.10376,0.48272,176.66667,100.00000,0.26000,0.23,1080.96,1058.91,1.42067,247.91000
4.25500,77.00000,2424.00000,05,038,Coahuila de Zaragoza,Zaragoza,0.13753,0.19498,0.44470,0.30333,0.84006,0.06580,0.21514,1.18955,0.63485,0.11121,0.44042,112.43750,20.55433,0.34000,0.28,816.97,891.58,1.59636,230.08000
4.35700,78.00000,2236.00000,08,042,Chihuahua,Manuel Benavides,0.05411,0.02183,0.54046,0.60994,0.87353,0.02166,0.18770,1.19171,0.51659,0.04259,0.11012,406.85714,100.00000,0.25000,0.23,1231.04,1202.93,0.34779,231.88999
2.57000,79.00000,2423.00000,05,014,Coahuila de Zaragoza,Jim?nez,0.16609,0.15242,0.42618,0.13093,0.68003,0.04760,0.24228,1.10217,1.02542,0.14975,0.19022,95.26087,69.83752,0.38000,0.34,724.59,801.70,4.45005,223.05999
3.48200,80.00000,2292.00000,08,054,Chihuahua,Riva Palacio,0.04871,0.03503,0.93186,0.62171,0.94715,0.23968,0.10777,0.44841,1.80369,0.02593,0.24352,221.04878,100.00000,0.27000,0.25,1049.02,1096.91,4.39326,209.52999
5.02000,81.00000,2291.00000,08,063,Chihuahua,Tem?sachi,0.45494,0.17170,0.41127,0.12576,0.28215,0.06289,0.44686,1.05396,0.45191,0.07988,0.12499,376.55172,100.00000,0.39000,0.37,739.22,768.58,1.62364,168.08000
9.02900,82.00000,2439.00000,05,023,Coahuila de Zaragoza,Ocampo,0.28868,0.12936,0.25245,0.19232,0.68404,0.00972,0.22508,0.81275,0.78466,0.08112,0.22581,474.27907,50.65129,0.34000,0.34,833.47,781.92,0.46571,225.50000
